Classifier,Test Object Images,Ground Truth,Selected by Classifier,True Positive,True Negative,False Positive,False Negative,Accuracy,Precision,Recall,F1-Score
 ,,,,,,,,,,,
tomato,tomato/tomato_3 (red tomato ellipsoid)      cube/cube_4 (red cube block)      tomato/tomato_3 (red tomato ellipsoid)      ,tomato/tomato_3 (red tomato ellipsoid) tomato/tomato_3 (red tomato ellipsoid) tomato/tomato_3 (red tomato ellipsoid) ,tomato/tomato_3 (red tomato ellipsoid) tomato/tomato_3 (red tomato ellipsoid) ,2.0,0.0,0.0,1.0,0.666666666667,1.0,0.666666666667,0.8
tomato,tomato/tomato_3 (red tomato ellipsoid)      cube/cube_4 (red cube block)      tomato/tomato_3 (red tomato ellipsoid)      ,tomato/tomato_3 (red tomato ellipsoid) tomato/tomato_3 (red tomato ellipsoid) tomato/tomato_3 (red tomato ellipsoid) ,tomato/tomato_3 (red tomato ellipsoid) tomato/tomato_3 (red tomato ellipsoid) ,2.0,0.0,0.0,1.0,0.666666666667,1.0,0.666666666667,0.8
tomato,cucumber/cucumber_3 (green cucumber ovoid)      cube/cube_4 (red cube block)      cuboid/cuboid_4 (blue cuboid block)      arch/arch_4 (red arch block)      orange/orange_4 (orange ellipsoid)      tomato/tomato_3 (red tomato ellipsoid)      ,tomato/tomato_3 (red tomato ellipsoid) ,tomato/tomato_3 (red tomato ellipsoid) ,1.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0
tomato,tomato/tomato_3 (red tomato ellipsoid)      tomato/tomato_3 (red tomato ellipsoid)      arch/arch_4 (red arch block)      orange/orange_4 (orange ellipsoid)      cuboid/cuboid_4 (blue cuboid block)      cube/cube_4 (red cube block)      ,tomato/tomato_3 (red tomato ellipsoid) tomato/tomato_3 (red tomato ellipsoid) ,tomato/tomato_3 (red tomato ellipsoid) tomato/tomato_3 (red tomato ellipsoid) ,2.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0
tomato,tomato/tomato_3 (red tomato ellipsoid)      cube/cube_4 (red cube block)      tomato/tomato_3 (red tomato ellipsoid)      ,tomato/tomato_3 (red tomato ellipsoid) tomato/tomato_3 (red tomato ellipsoid) tomato/tomato_3 (red tomato ellipsoid) ,tomato/tomato_3 (red tomato ellipsoid) tomato/tomato_3 (red tomato ellipsoid) ,2.0,0.0,0.0,1.0,0.666666666667,1.0,0.666666666667,0.8
tomato,tomato/tomato_3 (red tomato ellipsoid)      cube/cube_4 (red cube block)      tomato/tomato_3 (red tomato ellipsoid)      orange/orange_4 (orange ellipsoid)      tomato/tomato_3 (red tomato ellipsoid)      ,tomato/tomato_3 (red tomato ellipsoid) tomato/tomato_3 (red tomato ellipsoid) tomato/tomato_3 (red tomato ellipsoid) ,tomato/tomato_3 (red tomato ellipsoid) tomato/tomato_3 (red tomato ellipsoid) tomato/tomato_3 (red tomato ellipsoid) ,3.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0
tomato,orange/orange_4 (orange ellipsoid)      cuboid/cuboid_4 (blue cuboid block)      cube/cube_4 (red cube block)      tomato/tomato_3 (red tomato ellipsoid)      tomato/tomato_3 (red tomato ellipsoid)      ,tomato/tomato_3 (red tomato ellipsoid) tomato/tomato_3 (red tomato ellipsoid) ,tomato/tomato_3 (red tomato ellipsoid) tomato/tomato_3 (red tomato ellipsoid) ,2.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0
tomato,arch/arch_4 (red arch block)      cuboid/cuboid_4 (blue cuboid block)      tomato/tomato_3 (red tomato ellipsoid)      cube/cube_4 (red cube block)      orange/orange_4 (orange ellipsoid)      ,tomato/tomato_3 (red tomato ellipsoid) tomato/tomato_3 (red tomato ellipsoid) ,tomato/tomato_3 (red tomato ellipsoid) ,1.0,3.0,0.0,1.0,0.8,1.0,0.5,0.666666666667
tomato,cucumber/cucumber_3 (green cucumber ovoid)      cube/cube_4 (red cube block)      orange/orange_4 (orange ellipsoid)      arch/arch_4 (red arch block)      cuboid/cuboid_4 (blue cuboid block)      tomato/tomato_3 (red tomato ellipsoid)      ,tomato/tomato_3 (red tomato ellipsoid) ,tomato/tomato_3 (red tomato ellipsoid) ,1.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0
tomato,cube/cube_4 (red cube block)      cuboid/cuboid_4 (blue cuboid block)      tomato/tomato_3 (red tomato ellipsoid)      arch/arch_4 (red arch block)      orange/orange_4 (orange ellipsoid)      ,tomato/tomato_3 (red tomato ellipsoid) ,tomato/tomato_3 (red tomato ellipsoid) ,1.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0
 ,,,,,,,,,,,
cylinder,carrot/carrot_2 (carrot orange long-cone)      orange/orange_4 (orange ellipsoid)      tomato/tomato_3 (red tomato ellipsoid)      cylinder/cylinder_4 (green cylinder block)      cylinder/cylinder_4 (green cylinder block)      ,cylinder/cylinder_4 (green cylinder block) cylinder/cylinder_4 (green cylinder block) cylinder/cylinder_4 (green cylinder block) ,cylinder/cylinder_4 (green cylinder block) ,1.0,2.0,0.0,2.0,0.6,1.0,0.333333333333,0.5
cylinder,orange/orange_4 (orange ellipsoid)      cylinder/cylinder_4 (green cylinder block)      cylinder/cylinder_4 (green cylinder block)      ,cylinder/cylinder_4 (green cylinder block) cylinder/cylinder_4 (green cylinder block) cylinder/cylinder_4 (green cylinder block) ,cylinder/cylinder_4 (green cylinder block) cylinder/cylinder_4 (green cylinder block) ,2.0,0.0,0.0,1.0,0.666666666667,1.0,0.666666666667,0.8
cylinder,tomato/tomato_3 (red tomato ellipsoid)      carrot/carrot_2 (carrot orange long-cone)      cylinder/cylinder_4 (green cylinder block)      orange/orange_4 (orange ellipsoid)      cucumber/cucumber_3 (green cucumber ovoid)      ,cylinder/cylinder_4 (green cylinder block) ,,0.0,4.0,0.0,1.0,0.8,0.0,0.0,0.0
cylinder,tomato/tomato_3 (red tomato ellipsoid)      carrot/carrot_2 (carrot orange long-cone)      orange/orange_4 (orange ellipsoid)      cylinder/cylinder_4 (green cylinder block)      cylinder/cylinder_4 (green cylinder block)      ,cylinder/cylinder_4 (green cylinder block) cylinder/cylinder_4 (green cylinder block) ,cylinder/cylinder_4 (green cylinder block) cylinder/cylinder_4 (green cylinder block) ,2.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0
cylinder,orange/orange_4 (orange ellipsoid)      tomato/tomato_3 (red tomato ellipsoid)      cylinder/cylinder_4 (green cylinder block)      carrot/carrot_2 (carrot orange long-cone)      cylinder/cylinder_4 (green cylinder block)      cylinder/cylinder_4 (green cylinder block)      ,cylinder/cylinder_4 (green cylinder block) cylinder/cylinder_4 (green cylinder block) cylinder/cylinder_4 (green cylinder block) ,cylinder/cylinder_4 (green cylinder block) cylinder/cylinder_4 (green cylinder block) ,2.0,3.0,0.0,1.0,0.833333333333,1.0,0.666666666667,0.8
cylinder,tomato/tomato_3 (red tomato ellipsoid)      carrot/carrot_2 (carrot orange long-cone)      orange/orange_4 (orange ellipsoid)      cylinder/cylinder_4 (green cylinder block)      cylinder/cylinder_4 (green cylinder block)      cylinder/cylinder_4 (green cylinder block)      ,cylinder/cylinder_4 (green cylinder block) cylinder/cylinder_4 (green cylinder block) cylinder/cylinder_4 (green cylinder block) ,cylinder/cylinder_4 (green cylinder block) cylinder/cylinder_4 (green cylinder block) ,2.0,3.0,0.0,1.0,0.833333333333,1.0,0.666666666667,0.8
cylinder,cucumber/cucumber_3 (green cucumber ovoid)      orange/orange_4 (orange ellipsoid)      arch/arch_4 (red arch block)      tomato/tomato_3 (red tomato ellipsoid)      carrot/carrot_2 (carrot orange long-cone)      cylinder/cylinder_4 (green cylinder block)      ,cylinder/cylinder_4 (green cylinder block) ,cylinder/cylinder_4 (green cylinder block) ,1.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0
cylinder,carrot/carrot_2 (carrot orange long-cone)      tomato/tomato_3 (red tomato ellipsoid)      cylinder/cylinder_4 (green cylinder block)      cucumber/cucumber_3 (green cucumber ovoid)      orange/orange_4 (orange ellipsoid)      cylinder/cylinder_4 (green cylinder block)      ,cylinder/cylinder_4 (green cylinder block) cylinder/cylinder_4 (green cylinder block) ,cylinder/cylinder_4 (green cylinder block) cylinder/cylinder_4 (green cylinder block) ,2.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0
cylinder,cucumber/cucumber_3 (green cucumber ovoid)      tomato/tomato_3 (red tomato ellipsoid)      orange/orange_4 (orange ellipsoid)      carrot/carrot_2 (carrot orange long-cone)      cylinder/cylinder_4 (green cylinder block)      ,cylinder/cylinder_4 (green cylinder block) ,cylinder/cylinder_4 (green cylinder block) ,1.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0
cylinder,cylinder/cylinder_4 (green cylinder block)      cylinder/cylinder_4 (green cylinder block)      orange/orange_4 (orange ellipsoid)      ,cylinder/cylinder_4 (green cylinder block) cylinder/cylinder_4 (green cylinder block) cylinder/cylinder_4 (green cylinder block) ,cylinder/cylinder_4 (green cylinder block) ,1.0,0.0,0.0,2.0,0.333333333333,1.0,0.333333333333,0.5
 ,,,,,,,,,,,
cube,cube/cube_4 (red cube block)      cube/cube_4 (red cube block)      carrot/carrot_2 (carrot orange long-cone)      tomato/tomato_3 (red tomato ellipsoid)      ,cube/cube_4 (red cube block) cube/cube_4 (red cube block) ,cube/cube_4 (red cube block) cube/cube_4 (red cube block) ,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0
cube,cube/cube_4 (red cube block)      cube/cube_4 (red cube block)      tomato/tomato_3 (red tomato ellipsoid)      carrot/carrot_2 (carrot orange long-cone)      lime/lime_2 (green lime ellipsoid)      cucumber/cucumber_3 (green cucumber ovoid)      ,cube/cube_4 (red cube block) cube/cube_4 (red cube block) ,cube/cube_4 (red cube block) cube/cube_4 (red cube block) ,2.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0
cube,cube/cube_4 (red cube block)      cube/cube_4 (red cube block)      cube/cube_4 (red cube block)      carrot/carrot_2 (carrot orange long-cone)      tomato/tomato_3 (red tomato ellipsoid)      cucumber/cucumber_3 (green cucumber ovoid)      ,cube/cube_4 (red cube block) cube/cube_4 (red cube block) cube/cube_4 (red cube block) ,cube/cube_4 (red cube block) cube/cube_4 (red cube block) cube/cube_4 (red cube block) ,3.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0
cube,cube/cube_4 (red cube block)      carrot/carrot_2 (carrot orange long-cone)      tomato/tomato_3 (red tomato ellipsoid)      cube/cube_4 (red cube block)      cube/cube_4 (red cube block)      ,cube/cube_4 (red cube block) cube/cube_4 (red cube block) cube/cube_4 (red cube block) ,cube/cube_4 (red cube block) cube/cube_4 (red cube block) cube/cube_4 (red cube block) ,3.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0
cube,carrot/carrot_2 (carrot orange long-cone)      cucumber/cucumber_3 (green cucumber ovoid)      tomato/tomato_3 (red tomato ellipsoid)      cube/cube_4 (red cube block)      ,cube/cube_4 (red cube block) ,cube/cube_4 (red cube block) ,1.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0
cube,cube/cube_4 (red cube block)      cube/cube_4 (red cube block)      carrot/carrot_2 (carrot orange long-cone)      cube/cube_4 (red cube block)      tomato/tomato_3 (red tomato ellipsoid)      cucumber/cucumber_3 (green cucumber ovoid)      ,cube/cube_4 (red cube block) cube/cube_4 (red cube block) cube/cube_4 (red cube block) ,cube/cube_4 (red cube block) cube/cube_4 (red cube block) cube/cube_4 (red cube block) ,3.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0
cube,tomato/tomato_3 (red tomato ellipsoid)      cube/cube_4 (red cube block)      cucumber/cucumber_3 (green cucumber ovoid)      carrot/carrot_2 (carrot orange long-cone)      ,cube/cube_4 (red cube block) ,cube/cube_4 (red cube block) ,1.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0
cube,cube/cube_4 (red cube block)      tomato/tomato_3 (red tomato ellipsoid)      cube/cube_4 (red cube block)      carrot/carrot_2 (carrot orange long-cone)      ,cube/cube_4 (red cube block) cube/cube_4 (red cube block) cube/cube_4 (red cube block) ,cube/cube_4 (red cube block) cube/cube_4 (red cube block) ,2.0,1.0,0.0,1.0,0.75,1.0,0.666666666667,0.8
cube,cube/cube_4 (red cube block)      tomato/tomato_3 (red tomato ellipsoid)      cube/cube_4 (red cube block)      cube/cube_4 (red cube block)      ,cube/cube_4 (red cube block) cube/cube_4 (red cube block) cube/cube_4 (red cube block) ,cube/cube_4 (red cube block) cube/cube_4 (red cube block) cube/cube_4 (red cube block) ,3.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
cube,tomato/tomato_3 (red tomato ellipsoid)      carrot/carrot_2 (carrot orange long-cone)      cube/cube_4 (red cube block)      cube/cube_4 (red cube block)      ,cube/cube_4 (red cube block) cube/cube_4 (red cube block) ,cube/cube_4 (red cube block) cube/cube_4 (red cube block) ,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0
 ,,,,,,,,,,,
lemon,lemon/lemon_3 (yellow lemon ellipsoid)      banana/banana_2 (yellow banana arch)      lemon/lemon_3 (yellow lemon ellipsoid)      ,lemon/lemon_3 (yellow lemon ellipsoid) lemon/lemon_3 (yellow lemon ellipsoid) lemon/lemon_3 (yellow lemon ellipsoid) ,lemon/lemon_3 (yellow lemon ellipsoid) lemon/lemon_3 (yellow lemon ellipsoid) ,2.0,0.0,0.0,1.0,0.666666666667,1.0,0.666666666667,0.8
lemon,lemon/lemon_3 (yellow lemon ellipsoid)      banana/banana_2 (yellow banana arch)      lemon/lemon_3 (yellow lemon ellipsoid)      cuboid/cuboid_4 (blue cuboid block)      ,lemon/lemon_3 (yellow lemon ellipsoid) lemon/lemon_3 (yellow lemon ellipsoid) lemon/lemon_3 (yellow lemon ellipsoid) ,lemon/lemon_3 (yellow lemon ellipsoid) lemon/lemon_3 (yellow lemon ellipsoid) ,2.0,1.0,0.0,1.0,0.75,1.0,0.666666666667,0.8
lemon,lemon/lemon_3 (yellow lemon ellipsoid)      cuboid/cuboid_4 (blue cuboid block)      banana/banana_2 (yellow banana arch)      tomato/tomato_3 (red tomato ellipsoid)      lemon/lemon_3 (yellow lemon ellipsoid)      ,lemon/lemon_3 (yellow lemon ellipsoid) lemon/lemon_3 (yellow lemon ellipsoid) ,lemon/lemon_3 (yellow lemon ellipsoid) lemon/lemon_3 (yellow lemon ellipsoid) ,2.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0
lemon,cuboid/cuboid_4 (blue cuboid block)      banana/banana_2 (yellow banana arch)      tomato/tomato_3 (red tomato ellipsoid)      lemon/lemon_3 (yellow lemon ellipsoid)      ,lemon/lemon_3 (yellow lemon ellipsoid) ,lemon/lemon_3 (yellow lemon ellipsoid) ,1.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0
lemon,tomato/tomato_3 (red tomato ellipsoid)      cuboid/cuboid_4 (blue cuboid block)      banana/banana_2 (yellow banana arch)      lemon/lemon_3 (yellow lemon ellipsoid)      lemon/lemon_3 (yellow lemon ellipsoid)      ,lemon/lemon_3 (yellow lemon ellipsoid) lemon/lemon_3 (yellow lemon ellipsoid) ,lemon/lemon_3 (yellow lemon ellipsoid) lemon/lemon_3 (yellow lemon ellipsoid) ,2.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0
lemon,lemon/lemon_3 (yellow lemon ellipsoid)      banana/banana_2 (yellow banana arch)      lemon/lemon_3 (yellow lemon ellipsoid)      tomato/tomato_3 (red tomato ellipsoid)      cuboid/cuboid_4 (blue cuboid block)      lemon/lemon_3 (yellow lemon ellipsoid)      ,lemon/lemon_3 (yellow lemon ellipsoid) lemon/lemon_3 (yellow lemon ellipsoid) lemon/lemon_3 (yellow lemon ellipsoid) ,lemon/lemon_3 (yellow lemon ellipsoid) lemon/lemon_3 (yellow lemon ellipsoid) lemon/lemon_3 (yellow lemon ellipsoid) ,3.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0
lemon,arch/arch_4 (red arch block)      tomato/tomato_3 (red tomato ellipsoid)      banana/banana_2 (yellow banana arch)      lemon/lemon_3 (yellow lemon ellipsoid)      cucumber/cucumber_3 (green cucumber ovoid)      cuboid/cuboid_4 (blue cuboid block)      ,lemon/lemon_3 (yellow lemon ellipsoid) ,lemon/lemon_3 (yellow lemon ellipsoid) ,1.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0
lemon,tomato/tomato_3 (red tomato ellipsoid)      banana/banana_2 (yellow banana arch)      lemon/lemon_3 (yellow lemon ellipsoid)      lemon/lemon_3 (yellow lemon ellipsoid)      arch/arch_4 (red arch block)      cuboid/cuboid_4 (blue cuboid block)      ,lemon/lemon_3 (yellow lemon ellipsoid) lemon/lemon_3 (yellow lemon ellipsoid) ,lemon/lemon_3 (yellow lemon ellipsoid) lemon/lemon_3 (yellow lemon ellipsoid) ,2.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0
lemon,arch/arch_4 (red arch block)      banana/banana_2 (yellow banana arch)      tomato/tomato_3 (red tomato ellipsoid)      lemon/lemon_3 (yellow lemon ellipsoid)      cuboid/cuboid_4 (blue cuboid block)      ,lemon/lemon_3 (yellow lemon ellipsoid) lemon/lemon_3 (yellow lemon ellipsoid) ,lemon/lemon_3 (yellow lemon ellipsoid) ,1.0,3.0,0.0,1.0,0.8,1.0,0.5,0.666666666667
lemon,lemon/lemon_3 (yellow lemon ellipsoid)      cuboid/cuboid_4 (blue cuboid block)      banana/banana_2 (yellow banana arch)      tomato/tomato_3 (red tomato ellipsoid)      ,lemon/lemon_3 (yellow lemon ellipsoid) ,lemon/lemon_3 (yellow lemon ellipsoid) ,1.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0
 ,,,,,,,,,,,
cuboid,triangle/triangle_3 (green triangle block)      cuboid/cuboid_4 (blue cuboid block)      orange/orange_4 (orange ellipsoid)      cuboid/cuboid_4 (blue cuboid block)      ,cuboid/cuboid_4 (blue cuboid block) cuboid/cuboid_4 (blue cuboid block) cuboid/cuboid_4 (blue cuboid block) ,cuboid/cuboid_4 (blue cuboid block) cuboid/cuboid_4 (blue cuboid block) ,2.0,1.0,0.0,1.0,0.75,1.0,0.666666666667,0.8
cuboid,cuboid/cuboid_4 (blue cuboid block)      cuboid/cuboid_4 (blue cuboid block)      cuboid/cuboid_4 (blue cuboid block)      orange/orange_4 (orange ellipsoid)      triangle/triangle_3 (green triangle block)      ,cuboid/cuboid_4 (blue cuboid block) cuboid/cuboid_4 (blue cuboid block) cuboid/cuboid_4 (blue cuboid block) ,cuboid/cuboid_4 (blue cuboid block) cuboid/cuboid_4 (blue cuboid block) cuboid/cuboid_4 (blue cuboid block) ,3.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0
cuboid,cuboid/cuboid_4 (blue cuboid block)      tomato/tomato_3 (red tomato ellipsoid)      triangle/triangle_3 (green triangle block)      orange/orange_4 (orange ellipsoid)      ,cuboid/cuboid_4 (blue cuboid block) cuboid/cuboid_4 (blue cuboid block) ,cuboid/cuboid_4 (blue cuboid block) ,1.0,2.0,0.0,1.0,0.75,1.0,0.5,0.666666666667
cuboid,orange/orange_4 (orange ellipsoid)      triangle/triangle_3 (green triangle block)      tomato/tomato_3 (red tomato ellipsoid)      cuboid/cuboid_4 (blue cuboid block)      ,cuboid/cuboid_4 (blue cuboid block) cuboid/cuboid_4 (blue cuboid block) ,cuboid/cuboid_4 (blue cuboid block) ,1.0,2.0,0.0,1.0,0.75,1.0,0.5,0.666666666667
cuboid,triangle/triangle_3 (green triangle block)      orange/orange_4 (orange ellipsoid)      cuboid/cuboid_4 (blue cuboid block)      cuboid/cuboid_4 (blue cuboid block)      ,cuboid/cuboid_4 (blue cuboid block) cuboid/cuboid_4 (blue cuboid block) ,cuboid/cuboid_4 (blue cuboid block) cuboid/cuboid_4 (blue cuboid block) ,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0
cuboid,tomato/tomato_3 (red tomato ellipsoid)      orange/orange_4 (orange ellipsoid)      cuboid/cuboid_4 (blue cuboid block)      cuboid/cuboid_4 (blue cuboid block)      triangle/triangle_3 (green triangle block)      lime/lime_2 (green lime ellipsoid)      ,cuboid/cuboid_4 (blue cuboid block) cuboid/cuboid_4 (blue cuboid block) ,cuboid/cuboid_4 (blue cuboid block) cuboid/cuboid_4 (blue cuboid block) ,2.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0
cuboid,orange/orange_4 (orange ellipsoid)      triangle/triangle_3 (green triangle block)      cuboid/cuboid_4 (blue cuboid block)      cuboid/cuboid_4 (blue cuboid block)      tomato/tomato_3 (red tomato ellipsoid)      ,cuboid/cuboid_4 (blue cuboid block) cuboid/cuboid_4 (blue cuboid block) cuboid/cuboid_4 (blue cuboid block) ,cuboid/cuboid_4 (blue cuboid block) cuboid/cuboid_4 (blue cuboid block) ,2.0,2.0,0.0,1.0,0.8,1.0,0.666666666667,0.8
cuboid,triangle/triangle_3 (green triangle block)      orange/orange_4 (orange ellipsoid)      cuboid/cuboid_4 (blue cuboid block)      tomato/tomato_3 (red tomato ellipsoid)      ,cuboid/cuboid_4 (blue cuboid block) ,cuboid/cuboid_4 (blue cuboid block) ,1.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0
cuboid,triangle/triangle_3 (green triangle block)      tomato/tomato_3 (red tomato ellipsoid)      cuboid/cuboid_4 (blue cuboid block)      lime/lime_2 (green lime ellipsoid)      orange/orange_4 (orange ellipsoid)      ,cuboid/cuboid_4 (blue cuboid block) ,cuboid/cuboid_4 (blue cuboid block) ,1.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0
