Token,Type,blue,brown,green,orange,purple,red,white,yellow
arch,rgb,0.53384881687930608,0.10250602474620643,0.54325272850900286,0.40672688257989231,0.085474869393068573,0.14045109052316995,0.32587640341932061,0.53701707940509158
arch,rgb,0.000957401104022223,9.6633779055130121e-05,0.19555697949971163,0.31601228430343531,0.0010462740579818719,0.00011006540044541549,1.7359268996247933e-12,0.24453907153233087
banana,rgb,0.0,4.894088457361053e-20,0.033492477685663352,1.8814114117022631e-31,1.8141522143031663e-05,1.5972297841297396e-206,4.2981932317108545e-20,0.25001100960654077
banana,rgb,1.8501201347769065e-06,9.0014360320312374e-05,9.3564325430852405e-05,0.16666669557961392,0.00028865266166833213,0.00026655355514694886,1.8816719424440922e-09,0.24997409807944942
block,rgb,0.999999999071299,3.7941352895248652e-08,0.68740201309604143,4.9709029029276075e-05,0.0010695777410272462,0.49751356013103754,1.4636860490868408e-07,0.20303751554546018
block,rgb,0.97910106972146682,0.0084053114417381742,0.64499880077474869,0.16665847724535982,0.077508490823052889,0.45922985718630849,0.36363336447621059,0.20577277091868987
blue,rgb,0.99999999800576234,1.1791391031187547e-05,7.0352156550952479e-05,1.8831096439379159e-22,0.00045224149124294149,7.319300897709962e-07,1.6466073777108306e-21,3.6596502753170916e-07
blue,rgb,0.001391222014348764,0.0020841601807470595,0.28996308952486527,0.00051521279345048969,1.2592481542427639e-05,0.2803631659784947,1.5323664505683e-07,0.10034259063766371
brown,rgb,3.7776222388064207e-115,0.99994419242403654,7.1802664125033309e-08,0.49909894164230645,0.00013882502920771806,4.2075216142477546e-24,4.5695649465576893e-25,3.6233306388602729e-19
brown,rgb,1.0317028857602573e-05,0.22388543755387236,0.00029950187342729363,0.16857679507380258,9.1000742112809219e-06,0.0013609280323046368,1.1121152557010542e-10,0.04530124885711808
cabbage,rgb,2.0919701237316968e-61,2.2433185353368709e-60,2.7194023448426938e-21,7.5239383852626221e-221,0.33300356015076832,3.1107898735566071e-168,2.349320487978173e-45,1.5553949367783035e-168
cabbage,rgb,1.2406918800936533e-06,5.4370186818666883e-05,0.00040410731468688507,8.11540874149291e-10,0.33333326606870944,1.2963439978072311e-06,1.0417444006277283e-17,2.3214030585314549e-07
carrot,rgb,6.7986308878055464e-104,0.020833587177421731,1.0918807864359747e-08,0.33332408515471595,0.00023018585715603825,1.1573919016668877e-47,1.6855573819697322e-12,2.6920928352007249e-30
carrot,rgb,1.7488284718555616e-05,2.4050458003919196e-05,6.6557538748645556e-05,0.33747909158337935,5.9358031876870367e-06,3.1019514756247558e-05,3.8230260997642697e-18,1.5251932005134278e-07
corn,rgb,0.0,1.3591803903777156e-32,1.3253604570307599e-10,2.8777223176123114e-52,0.0013596055876304396,1.3014634121191617e-197,0.98877717275616528,4.4225327294557714e-130
corn,rgb,0.00053747759001885232,0.00032619030804023077,0.012975356409818881,2.3624620087104165e-09,0.00015742357764050199,4.3595113260842848e-05,0.48222452320851233,2.8274494620649774e-07
cube,rgb,0.062754806872195854,4.5464923666904028e-13,0.59446114722779297,4.0380302944264132e-21,0.00057354003797601165,2.7449180915559705e-41,1.2577134491871883e-12,0.060052974998098828
cube,rgb,0.0094569749933152945,0.0003037932728974843,0.00012593950424479711,0.078245983476847969,0.0036239062668140878,0.49992793543712954,2.6939105089654803e-18,5.7274928632163451e-08
cuboid,rgb,0.0020177199198748346,0.005983284250226456,0.39940486902716188,0.00032936341182905154,0.0056826130459248702,0.24874842897889551,6.9302910914860791e-07,0.19879135288840435
cuboid,rgb,0.98756588549008306,0.0021376563416325798,7.7934002455471634e-05,0.16584381002544868,3.0334592800131924e-05,0.00042896312164423552,8.4090319274708759e-08,5.8702158027964752e-05
cucumber,rgb,3.075710048298828e-179,1.9459537232107966e-23,0.23958013129493999,2.2041274229852536e-67,5.8822451952737957e-06,4.0773582329975573e-127,3.4817055832025634e-21,7.4382597552292345e-28
cucumber,rgb,0.0029250136876078645,1.3624497531633389e-05,0.17197257469451446,0.16666665337750194,1.5225312005749303e-05,5.1012022472267813e-05,0.45452441602437954,8.5311692605674199e-05
cylinder,rgb,0.69585851821493905,0.057750975385498948,0.083552082182723947,8.9797009823747021e-05,0.02456327538359138,0.61950809242366289,2.6866409794393221e-10,0.43738057146249282
cylinder,rgb,0.00095019348337596816,0.001974904577841182,0.20486962126325867,0.0030558099884784671,0.00074700526134465275,3.3284772394596614e-05,1.0302900074078683e-12,3.6779307164486224e-05
eggplant,rgb,0.0,2.454436380045278e-93,4.3204059330336801e-06,0.0,0.34592559271805629,0.0,0.074311247541930733,0.0
eggplant,rgb,5.882639495866735e-05,7.398225219528428e-05,2.8046477764311419e-05,1.7956532759376917e-07,0.27448240245055916,6.1504289098609892e-05,1.2809604707501077e-21,4.886113394613963e-08
ellipsoid,rgb,0.0028888371390613371,0.9870411854234028,0.12657811196905408,0.49853216082090007,0.57184345406938963,0.5673844955557672,0.17116829820064747,0.6151090503553942
ellipsoid,rgb,0.0089038328913946339,0.99925591879000641,0.20010356994641776,0.64309438948537823,0.73290192103574914,0.50206614238808489,4.3378961531862851e-14,0.52672982208807384
green,rgb,3.0847754843023873e-229,1.6965841446338488e-16,0.99997996153101243,1.4669222662639273e-49,1.2055667951900959e-09,7.2553350308787259e-61,3.4229794544973844e-37,0.24899453871200769
green,rgb,0.39725232730024423,0.0030638795436801823,0.39918052400425752,0.32520853049980941,0.05021721945371721,0.01031320711521534,0.46074899854877827,0.14316702467714224
lemon,rgb,1.5841459331579946e-45,3.3054080410923223e-08,2.0286331277533637e-06,3.0256687117646981e-10,5.3023792856943279e-07,1.748072834916678e-59,1.5192723010353748e-23,0.26443614924303499
lemon,rgb,6.2884118862994374e-05,0.3307119571170053,0.00071814585151014126,0.0013333125786043475,1.3708366712121266e-05,3.8722923819068008e-07,9.4449272525560827e-10,0.04406462683147877
lime,rgb,1.2103678402879316e-235,2.2440232000012211e-14,0.17191427186290015,7.2138457535174433e-44,3.8164303153271653e-16,3.5770270358084088e-68,2.8089509685847181e-63,1.0928219902956899e-28
lime,rgb,0.00015705171881307445,0.0002137420304806048,0.19590922883770595,1.9388350888613887e-06,0.00014366466181358367,1.7132473253509221e-05,3.7484401716306729e-17,3.7801875419940142e-08
long-cone,rgb,1.5681054399186428e-261,7.4818562213017344e-14,4.7794870667536476e-13,0.33333333333241566,0.0017500873275018008,5.0594753146553437e-88,0.99420883049331465,2.5297376573276718e-88
long-cone,rgb,0.0005170943484424464,0.00041766355785775525,0.0038966679785966398,0.49999307583024433,2.8076643493460947e-05,0.00047114289075889175,0.34323347917371066,2.3202355316721457e-08
orange,rgb,1.8247961532504774e-30,0.91370004374522273,0.00044830398699859401,0.82042821497855412,0.0096951996507132383,4.6042648228860968e-09,2.8793114766811025e-07,0.0028808164291363467
orange,rgb,5.1573738828260239e-05,0.24295701891928836,8.5766749654531314e-06,0.8536832344114631,9.3192694500888536e-06,5.1223856686389465e-05,0.17520736151308156,1.0621414681527835e-05
ovoid,rgb,0.0,2.8659374700243917e-111,0.20971266743202982,0.0,0.37497836183141708,0.0,0.06237473024444537,0.0
ovoid,rgb,0.0085153312078601953,1.0870497017626502e-06,0.18333531878981907,0.14533082850703874,0.32918555140945666,0.00065765891020835279,0.45444218541409054,0.00023507755540587151
plum,rgb,1.3358410012741621e-38,4.0446414148063942e-07,2.5110388036130148e-28,1.2328668152844438e-59,0.0016179058988520696,4.906825466115549e-05,3.6426090575196279e-84,2.4442006559064704e-05
plum,rgb,0.00022462112417920678,2.8690069099934841e-05,0.00065330245048064099,0.16666666144337963,0.40498845718100268,0.06486209014382216,8.0863575842660834e-22,1.3967219961109235e-10
potato,rgb,2.2501746222883066e-121,0.99996492266766257,1.9394948800546353e-07,0.49979600678361225,7.1481416443974996e-05,1.8431407139247777e-22,9.2671751211895027e-27,1.1748426016378628e-19
potato,rgb,1.0317028857602573e-05,0.22388543755387236,0.00029950187342729363,0.16857679507380258,9.1000742112809219e-06,0.0013609280323046368,1.1121152557010542e-10,0.04530124885711808
purple,rgb,5.0860361593786324e-13,0.0034923093797148419,0.1611227679000595,5.0547775922750664e-26,0.66255270429670876,0.093671271214094201,0.16933234734109434,0.046832341866417222
purple,rgb,0.00015131151446944272,2.6235374670886136e-05,0.010976287794176171,1.0410298144534689e-11,0.97392503019425058,0.022786284195783563,1.7163718143545353e-19,1.4533682614379975e-08
red,rgb,3.676715940925117e-16,8.0977847788468884e-06,7.2674967381524487e-24,3.9330710820532682e-12,1.1861520029698617e-19,0.99082044036622918,1.8390197078979734e-112,0.24541241101315303
red,rgb,0.27361491246063185,0.94229821937997549,0.23754846279139832,0.0013021646335315757,0.052378053838603743,0.37035864437925642,2.4500221391854116e-08,0.18571871708219645
semicylinder,rgb,0.93733708549258199,0.0041376531357914291,0.30578089580120055,4.4293104193595369e-10,0.0016018880476667682,0.30822865692558421,1.9787816963728815e-16,0.14207099807133849
semicylinder,rgb,4.3147298364845619e-06,8.0691288336540662e-10,0.041263901534518074,2.1506130310199287e-08,5.9271184462987896e-05,0.010995044358208831,0.18181901178069371,0.12410980202683879
tomato,rgb,9.3642579118370317e-17,1.4006748104092282e-09,2.6202030367023398e-55,0.018246464632992298,6.1780587751117063e-27,0.49529769125664563,3.4714524803431384e-200,0.247588564875033
tomato,rgb,1.8386085542924849e-06,0.90783429627196721,8.3309948201109601e-05,0.15466965678183678,0.00028505491864239222,0.37763220014364646,4.564999201736223e-14,0.18731470251720134
triangle,rgb,0.92179778560458714,0.16009055725774957,0.050439170701903159,0.0042171085868654848,0.11667106209930352,0.75955773808119242,0.00092681990527554914,0.44453800494791462
triangle,rgb,9.623063356586277e-05,0.00095494500220678143,0.2122181508779549,0.16935120694591224,0.00097666015288821063,1.1772805066982158e-05,9.4250136021792809e-21,4.4176391568443292e-06
white,rgb,0.0,1.3591830510570662e-32,1.325361154200257e-10,2.8777310893396857e-52,0.0013596058063851345,1.3014795532533633e-197,0.98877717109218244,4.4225637515010704e-130
white,rgb,0.00053747759001885232,0.00032619030804023077,0.012975356409818881,2.3624620087104165e-09,0.00015742357764050199,4.3595113260842848e-05,0.48222452320851233,2.8274494620649774e-07
yellow,rgb,8.0011100699253601e-24,1.0110110112027116e-08,2.539588545238309e-06,3.5882693263736091e-10,0.00061893211466163055,1.169730174984207e-56,0.0027480358389450356,0.74825320228994041
yellow,rgb,0.010683555032531046,0.046404735763372035,0.048263347317385547,0.3461776026079782,2.1048624675174996e-05,0.00062076443374408611,3.4806280211172651e-07,0.33167821418070975
